Emotions;respons
Happy;Terima kasih telah belanja di Toko Kami, jangan lupa ajak teman-teman belanja di sini ya :)
Happy;Halo, terima kasih sudah membeli dari Toko Kami! Senang mendengan anda menyukai produk dari Toko Kami. Ditunggu untuk pesanan berikutnya
Happy;Hai terima kasih untuk review baiknya, semoga kami masuk ke dalam toko Favoritmu ya
Happy;Kami sangat senang bisa mengetahu bahwa anda mendapatkan pengalaman yang menyenangkan saat belanja di Toko Kami. Ditunggu untuk pembelian selanjutnya ya
Happy;Terima kasih! Ditunggu ya order berikutnya, jika berkenan bagikan link toko kami kepada teman-temanmu, sehingga temanmu bisa mendapat pengalaman yang sama berbelanja di Online Shop
Love;Terima kasih telah berbelanja di Toko Kami, jangan lupa untuk menambahkan Toko Kami ke daftar Favorit Anda untuk terus update mengenai stok produk terbaru. 
Love;Kami senang mendengar review baik dari Anda. Ayo bagikan pengalaman menyenangkan ini  dengan membagikan link toko kami kepada teman-temanmu.
Love;Terima kasih atas reviewnya, kami berharap Toko Kami akan menjadi pilihan utama bagi Anda untuk mendapatkan produk berkualitas dengan harga terjangkau.
Love;Hai terima kasih telah berbelanja di Toko Kami dan memberikan review baik kepada kami. Kami akan selalu memberikan pelayanan terbaik bagi pelanggan, segera pesan produk berikutnya dan menjadi pelanggan setia toko kami ya.
Love;Halo kami sangat senang jika Anda puas dengan produk yang dibeli dari Toko Kami, kami akan selalu memberikan pelayanan terbaik. Ayo tambahkan Toko Kami sebagai favorit dan jadilah pelanggan setia Kami.
Anger;Kami menyesal hal tersebut terjadi kepada Anda, kami akan lebih teliti lagi kedepannya sehingga hal ini tidak terulang kembali.
Anger;Halo, kami memohon maaf atas hal yang Anda alami, jika masih memungkinkan, kami sangat menyarankan untuk Anda menggunakan fitur komplain/refund sehingga pengembalian produk dapat kami proses.
Anger;Kami sangat memahami bahwa apa yang Anda alami merupakan pengalaman yang tidak menyenangkan, kami akan berusaha sebaik mungkin supaya hal ini tidak terulang kembali, meskipun begitu kami sangat terbuka kepada pelanggan yang ingin melakukan komplain/refund melalui aplikasi 
Anger;Hai, terima kasih telah membagikan pengalaman Anda, kami sangat sedih hal ini harus terjadi kepada Anda, ulasan yang Anda berikan akan kami jadikan bahan evaluasi untuk memperbaiki kualitas pelayanan dan produk yang kami jual
Anger;Kami memohon maaf atas kekurangan pelayanan yang kami berikan, jika bersedia Anda dapat mengajukan komplain/refund melalui aplikasi, kami akan selalu mengutamakan kepuasan pelanggan kami sehingga pelanggan tidak kecewa bertransaksi dengan Toko Kami
Sadness;Halo, mohon maaf atas ketidaknyamanannya. Kami menyadari bahwa ini bukan hal yang Anda harapkan dan ulasan Anda sangat membantu kami untuk memperbaiki pelayanan kami kedepannya
Sadness;Kami sangat menyesal Anda harus mengalami ini pada pesanan Anda. Kami akan memperbaiki proses kami  berdasarkan ulasan Anda. Semoga kami bisa lebih baik lagi pada pesanan Anda berikutnya. 
Sadness;Terima kasih telah membeli produk dari Toko Kami, saran Anda akan kami pertimbangkan untuk kedepannya sehingga kami dapat memberikan pelayanan terbaik pada pembelianmu berikutnya.
Sadness;Terima kasih telah meluangkan waktu memberikan ulasan ini, kami akan memperbaiki kualitas pelayanan kami sehingga Anda dapat pengalaman lebih baik pada pembelian berikutnya di Toko Kami.
Sadness;Hai, kami sangat mengerti yang Anda rasakan, kami mohon maaf atas kekurangan dari pelayanan Toko Kami, masukan yang Anda berikan berarti untuk memperbaiki pelayana  kami.
Fear;Halo, Kepuasan pelanggan merupakan prioritas utama bagi kami, kami akan selalu memberikan pelayanan terbaik dengan memberikan respon secepat mungkin pada setiap pelangga. Terima kasih telah membeli produk dari Toko Kami.
Fear;Hai, terima kasih telah meluangkan waktu untuk memperhatikan hal ini. Kami sangat menyesal dengan kejadian kurang menyenangkan yang Anda alami. Kami akan memperbaiki kekurangan kami secepat mungkin.
Fear;Kami selalu memberikan pelayanan terbaik kepada setiap pelanggan Toko Kami, meskipun begitu kami menyadari masih banyak yang perlu diperbaiki dari kami, kedepannya kami akan berusaha sehingga Anda tidak mengalami hal serupa saat pembelian berikutnya di Toko Kami.
Fear;Terima kasih atas kepercayaannya kepada Toko Kami, untuk memberikan pelayanan terbaik, kami selalu memastikan produk berfungsi sebelum produk dikirimkan, kami akan memperbaiki kekurangan pelayanan kami untuk lebih meyakinkan pelanggan untuk membeli produk di Toko Kami
Fear;Kami sangat terbuka atas seluruh ulasan yang Anda berikan, hal itu akan menjadi bahan pertimbangan kami untuk kedepannya, kami akan selalu memberikan pelayanan lebih baik lagi dari sebelumnya. Terima kasih telah membantu kami lebih baik lagi
